epoch,mIoU,step,train/batches,train/device/batches_per_sec,train/device/samples_per_sec,train/samples,train/time,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step,validate/batches,validate/device/batches_per_sec,validate/device/samples_per_sec,validate/samples,validate/time
,,193,,,,,,,,,0.9060983657836914,,,,,
,,194,,,,,,,,,0.848889172077179,,,,,
,,195,,,,,,,,,1.0180619955062866,,,,,
,,196,,,,,,,,,0.5193581581115723,,,,,
,,197,,,,,,,,,0.6046590805053711,,,,,
,,198,,,,,,,,,0.4880456328392029,,,,,
,,200,,,,,,,,,,200,4.179671858060672,4.179671858060672,200,48.26327172294259
,,199,,,,,,,,,0.624846339225769,,,,,
,,200,,,,,,,,,0.8927331566810608,,,,,
,,201,,,,,,,,,0.5382415652275085,,,,,
,,202,,,,,,,,,0.3545452356338501,,,,,
,,203,,,,,,,,,0.3906743824481964,,,,,
,,204,,,,,,,,,0.4106754958629608,,,,,
,,205,,,,,,,,,0.7013769745826721,,,,,
,,206,,,,,,,,,0.4444352090358734,,,,,
,,207,,,,,,,,,0.9148917198181152,,,,,
,,208,,,,,,,,,0.24739961326122284,,,,,
,,209,,,,,,,,,0.32359591126441956,,,,,
,,210,,,,,,,,,0.5372010469436646,,,,,
,,211,,,,,,,,,0.8601781129837036,,,,,
,,212,,,,,,,,,0.7688652276992798,,,,,
,,213,,,,,,,,,1.0163424015045166,,,,,
,,214,,,,,,,,,0.5051417350769043,,,,,
,,215,,,,,,,,,0.46363723278045654,,,,,
,,216,,,,,,,,,0.2327178567647934,,,,,
,,217,,,,,,,,,0.748557984828949,,,,,
,,218,,,,,,,,,0.49232354760169983,,,,,
,,219,,,,,,,,,0.7981018424034119,,,,,
,,220,,,,,,,,,1.0139508247375488,,,,,
,,221,,,,,,,,,0.5296880602836609,,,,,
,,222,,,,,,,,,0.2273237109184265,,,,,
,,223,,,,,,,,,0.37287500500679016,,,,,
,,224,,,,,,,,,0.23546889424324036,,,,,
,,225,,,,,,,,,0.3139719069004059,,,,,
,,226,,,,,,,,,0.638016939163208,,,,,
,,227,,,,,,,,,0.6113964319229126,,,,,
,,228,,,,,,,,,1.381964087486267,,,,,
,,229,,,,,,,,,1.1003834009170532,,,,,
,,230,,,,,,,,,1.159613013267517,,,,,
,,231,,,,,,,,,0.7008630037307739,,,,,
